Institution,Location,STARS Version,Rating,Valid Through
Arizona State University,"United States,
              AZ",2.2,Platinum,"March 5, 2023"
Colorado State University,"United States,
              CO",2.1,Platinum,"Dec. 5, 2022"
Cornell University,"United States,
              NY",2.2,Platinum,"May 6, 2024"
Stanford University,"United States,
              CA",2.1,Platinum,"Feb. 21, 2022"
State University of New York College of Environmental Science and Forestry,"United States,
              NY",2.2,Platinum,"April 29, 2024"
Thompson Rivers University,"Canada,
              BC",2.1,Platinum,"Nov. 26, 2021"
"University of California, Berkeley","United States,
              CA",2.2,Platinum,"April 29, 2024"
"University of California, Irvine","United States,
              CA",2.1,Platinum,"Sept. 23, 2021"
University of Connecticut,"United States,
              CT",2.1,Platinum,"March 6, 2023"
University of New Hampshire,"United States,
              NH",2.1,Platinum,"Aug. 25, 2021"
Université de Sherbrooke,"Canada,
              QC",2.1,Platinum,"Dec. 5, 2022"
Agnes Scott College,"United States,
              GA",2.2,Gold,"July 20, 2024"
American University,"United States,
              DC",2.2,Gold,"April 18, 2024"
Appalachian State University,"United States,
              NC",2.1,Gold,"April 18, 2022"
Babson College,"United States,
              MA",2.1,Gold,"Sept. 25, 2021"
Bard College,"United States,
              NY",2.2,Gold,"Nov. 20, 2023"
Bates College,"United States,
              ME",2.1,Gold,"Aug. 25, 2023"
Belmont University,"United States,
              TN",2.1,Gold,"Feb. 25, 2022"
Bennington College,"United States,
              VT",2.2,Gold,"Sept. 22, 2024"
Berea College,"United States,
              KY",2.1,"Gold
                
                    *","Dec. 10, 2020"
Binghamton University,"United States,
              NY",2.2,Gold,"March 5, 2023"
Bowdoin College,"United States,
              ME",2.1,Gold,"Feb. 27, 2022"
Bucknell University,"United States,
              PA",2.1,Gold,"Sept. 22, 2022"
California Polytechnic State University,"United States,
              CA",2.1,Gold,"Sept. 18, 2022"
"California State University, Channel Islands","United States,
              CA",2.2,Gold,"March 6, 2023"
"California State University, Chico","United States,
              CA",2.1,Gold,"Aug. 26, 2021"
"California State University, Northridge","United States,
              CA",2.1,Gold,"Dec. 9, 2021"
"California State University, Sacramento","United States,
              CA",2.2,Gold,"April 22, 2024"
"California State University, San Marcos","United States,
              CA",2.2,Gold,"Feb. 18, 2024"
Carnegie Mellon University,"United States,
              PA",2.1,Gold,"Feb. 6, 2022"
Central Michigan University,"United States,
              MI",2.2,Gold,"Feb. 3, 2024"
Chatham University,"United States,
              PA",2.1,Gold,"Nov. 25, 2021"
Clarkson University,"United States,
              NY",2.1,Gold,"Feb. 21, 2022"
Colby College,"United States,
              ME",2.1,Gold,"Nov. 4, 2021"
Colgate University,"United States,
              NY",2.1,"Gold
                
                    *","Feb. 6, 2021"
College of the Atlantic,"United States,
              ME",2.1,Gold,"Feb. 28, 2022"
Colorado College,"United States,
              CO",2.2,Gold,"May 3, 2024"
Columbia University,"United States,
              NY",2.1,Gold,"Aug. 28, 2021"
Concordia University,"Canada,
              QC",2,"Gold
                
                    *","Nov. 21, 2020"
Connecticut College,"United States,
              CT",2.2,Gold,"July 28, 2024"
Dalhousie University,"Canada,
              NS",2.2,Gold,"Sept. 14, 2024"
Dawson College,"Canada,
              QC",2.1,Gold,"Dec. 7, 2023"
Denison University,"United States,
              OH",2.1,Gold,"Feb. 27, 2022"
Dickinson College,"United States,
              PA",2.2,Gold,"April 11, 2024"
Emerson College,"United States,
              MA",2.1,Gold,"Sept. 25, 2021"
Emory University,"United States,
              GA",2.2,Gold,"April 20, 2024"
Fanshawe College,"Canada,
              ON",2.1,Gold,"Nov. 29, 2021"
Fleming College,"Canada,
              ON",2.1,Gold,"Aug. 22, 2022"
Florida Gulf Coast University,"United States,
              FL",2.2,Gold,"Dec. 4, 2023"
Florida State University,"United States,
              FL",2.1,Gold,"Dec. 18, 2021"
Furman University,"United States,
              SC",2.2,Gold,"Sept. 6, 2024"
George Mason University,"United States,
              VA",2.2,Gold,"Feb. 19, 2024"
George Washington University,"United States,
              DC",2.2,Gold,"March 5, 2023"
Gonzaga University,"United States,
              WA",2.2,Gold,"Nov. 12, 2023"
Grand Valley State University,"United States,
              MI",2.2,Gold,"May 5, 2024"
Green Mountain College,"United States,
              VT",2.1,Gold,"Aug. 21, 2021"
HEC Montréal,"Canada,
              QC",2.2,Gold,"April 22, 2024"
Hampshire College,"United States,
              MA",2.1,Gold,"Sept. 25, 2021"
Haywood Community College,"United States,
              NC",1.2,"Gold
                
                    *","April 5, 2015"
Humber College,"Canada,
              ON",2.2,Gold,"Oct. 23, 2022"
Humboldt State University,"United States,
              CA",2.2,Gold,"May 7, 2023"
Indiana University Bloomington,"United States,
              IN",2.2,Gold,"Feb. 25, 2023"
Indiana University-Purdue University Indianapolis (IUPUI),"United States,
              IN",2.2,Gold,"May 11, 2024"
Iowa State University,"United States,
              IA",2.1,Gold,"Aug. 29, 2022"
Ithaca College,"United States,
              NY",2.1,Gold,"Nov. 24, 2022"
James Madison University,"United States,
              VA",2.1,Gold,"Dec. 20, 2021"
Kankakee Community College,"United States,
              IL",2,"Gold
                
                    *","Feb. 2, 2018"
Keene State College,"United States,
              NH",2.2,Gold,"March 30, 2024"
Lehigh University,"United States,
              PA",2.2,Gold,"April 11, 2024"
Lewis & Clark College,"United States,
              OR",2.2,Gold,"March 6, 2023"
Loyola Marymount University,"United States,
              CA",2.2,Gold,"May 16, 2024"
Loyola University Chicago,"United States,
              IL",2.2,Gold,"March 6, 2023"
Luther College,"United States,
              IA",2.1,Gold,"Feb. 28, 2022"
Macalester College,"United States,
              MN",2.2,Gold,"April 18, 2024"
Massachusetts Institute of Technology,"United States,
              MA",2.1,Gold,"Oct. 22, 2021"
McGill University,"Canada,
              QC",2.2,Gold,"Feb. 2, 2024"
Miami University,"United States,
              OH",2.1,Gold,"Feb. 28, 2022"
Michigan State University,"United States,
              MI",2.1,Gold,"Feb. 27, 2022"
Middlebury College,"United States,
              VT",2,"Gold
                
                    *","Dec. 5, 2020"
Mohawk College,"Canada,
              ON",2.1,Gold,"Jan. 21, 2022"
Muhlenberg College,"United States,
              PA",2.1,Gold,"Dec. 2, 2021"
New York University,"United States,
              NY",2.1,Gold,"Feb. 6, 2023"
North Carolina State University,"United States,
              NC",2,"Gold
                
                    *","Jan. 4, 2019"
Northern Arizona University,"United States,
              AZ",2.2,Gold,"Jan. 5, 2024"
Northland College,"United States,
              WI",2.2,Gold,"May 9, 2024"
Northwestern University,"United States,
              IL",2.2,Gold,"March 6, 2023"
Nova Scotia Community College,"Canada,
              NS",2.2,Gold,"March 6, 2023"
Oberlin College,"United States,
              OH",2,"Gold
                
                    *","Sept. 4, 2020"
Oregon State University,"United States,
              OR",2.2,Gold,"March 8, 2024"
Pacific Lutheran University,"United States,
              WA",1.1,"Gold
                
                    *","March 11, 2016"
Pennsylvania State University,"United States,
              PA",2.2,Gold,"Jan. 25, 2024"
Polytechnique Montreal,"Canada,
              QC",2.1,Gold,"June 2, 2022"
Pomona College,"United States,
              CA",2,"Gold
                
                    *","Oct. 28, 2018"
Portland State University,"United States,
              OR",2.2,Gold,"April 28, 2024"
Princeton University,"United States,
              NJ",2.1,Gold,"Aug. 26, 2021"
Rice University,"United States,
              TX",2.1,"Gold
                
                    *","April 10, 2021"
Royal Roads University,"Canada,
              BC",1.1,"Gold
                
                    *","May 25, 2017"
Saint Mary's College of California,"United States,
              CA",2.2,Gold,"Feb. 25, 2023"
San Diego State University,"United States,
              CA",2.1,Gold,"Oct. 23, 2023"
San Jose State University,"United States,
              CA",2.2,Gold,"March 6, 2023"
Santa Clara University,"United States,
              CA",2.2,Gold,"Feb. 26, 2023"
Seattle University,"United States,
              WA",2.2,Gold,"May 11, 2024"
Simon Fraser University,"Canada,
              BC",2.1,Gold,"Oct. 4, 2021"
"St. John's University, New York","United States,
              NY",2,"Gold
                
                    *","March 14, 2019"
State University of New York at Cortland,"United States,
              NY",2.1,Gold,"Feb. 24, 2022"
Sterling College (VT),"United States,
              VT",2.1,Gold,"May 9, 2024"
Stevens Institute of Technology,"United States,
              NJ",2.2,Gold,"March 2, 2023"
Texas A&M University,"United States,
              TX",2.2,Gold,"Feb. 5, 2024"
The American College of Greece,"Greece,
              Aghia Paraskevi",2.2,Gold,"Feb. 10, 2023"
The Ohio State University,"United States,
              OH",2.1,Gold,"Jan. 17, 2022"
The University of Texas at Dallas,"United States,
              TX",2.1,Gold,"Sept. 10, 2022"
Unity College,"United States,
              ME",2.1,Gold,"March 21, 2022"
Universite Laval,"Canada,
              QC",2.1,Gold,"Dec. 11, 2022"
"University College Cork - National University of Ireland, Cork","Ireland,
              Co. Cork",2.1,"Gold
                
                    *","July 19, 2021"
University at Albany,"United States,
              NY",2.1,Gold,"Dec. 20, 2021"
University at Buffalo,"United States,
              NY",2.1,Gold,"Dec. 13, 2021"
University of Alaska Fairbanks,"United States,
              AK",1,"Gold
                
                    *","Aug. 25, 2014"
University of Alberta,"Canada,
              AB",2.1,Gold,"Oct. 5, 2023"
University of Arizona,"United States,
              AZ",2.1,"Gold
                
                    *","Oct. 28, 2020"
University of Arkansas,"United States,
              AR",2.1,Gold,"May 16, 2024"
University of British Columbia,"Canada,
              BC",2,"Gold
                
                    *","Aug. 3, 2018"
University of Calgary,"Canada,
              AB",2.1,Gold,"Dec. 12, 2021"
"University of California, Davis","United States,
              CA",2.2,Gold,"March 6, 2023"
"University of California, Los Angeles","United States,
              CA",2.2,Gold,"March 6, 2023"
"University of California, Merced","United States,
              CA",2.1,Gold,"Feb. 28, 2022"
"University of California, Riverside","United States,
              CA",2.2,Gold,"May 9, 2024"
"University of California, San Diego","United States,
              CA",2.2,Gold,"April 18, 2024"
"University of California, Santa Barbara","United States,
              CA",2.2,Gold,"April 20, 2024"
"University of California, Santa Cruz","United States,
              CA",2.1,Gold,"Feb. 28, 2022"
University of Cincinnati,"United States,
              OH",2.2,Gold,"March 6, 2023"
University of Colorado Boulder,"United States,
              CO",2.1,Gold,"Sept. 18, 2021"
University of Colorado Colorado Springs,"United States,
              CO",2.2,Gold,"May 12, 2024"
University of Dayton,"United States,
              OH",2.1,Gold,"Feb. 28, 2022"
University of Georgia,"United States,
              GA",2.2,Gold,"Oct. 3, 2024"
University of Guelph,"Canada,
              ON",2.2,Gold,"Nov. 17, 2023"
University of Houston,"United States,
              TX",2.1,Gold,"Jan. 3, 2022"
"University of Illinois, Urbana-Champaign","United States,
              IL",2.1,Gold,"Feb. 26, 2022"
University of Louisville,"United States,
              KY",2.1,Gold,"Feb. 26, 2022"
University of Manitoba,"Canada,
              MB",2.1,Gold,"Aug. 15, 2021"
"University of Maryland, College Park","United States,
              MD",2.1,Gold,"Feb. 27, 2022"
University of Massachusetts Amherst,"United States,
              MA",2.2,Gold,"March 6, 2023"
University of Massachusetts Lowell,"United States,
              MA",2.1,Gold,"Feb. 14, 2022"
University of Miami,"United States,
              FL",2.1,Gold,"March 12, 2022"
University of Michigan,"United States,
              MI",2.1,Gold,"Dec. 21, 2021"
"University of Minnesota, Duluth","United States,
              MN",2.1,Gold,"Nov. 3, 2022"
"University of Minnesota, Morris","United States,
              MN",2.1,Gold,"Sept. 25, 2021"
"University of Minnesota, Twin Cities","United States,
              MN",2,"Gold
                
                    *","Dec. 14, 2018"
University of Missouri,"United States,
              MO",2.1,Gold,"Aug. 14, 2021"
University of North Carolina at Chapel Hill,"United States,
              NC",2.2,Gold,"Feb. 29, 2024"
University of Northern Iowa,"United States,
              IA",1.1,"Gold
                
                    *","Feb. 29, 2016"
University of Ontario Institute of Technology,"Canada,
              ON",2.1,Gold,"June 18, 2022"
University of Oregon,"United States,
              OR",2.2,Gold,"March 6, 2023"
University of Pennsylvania,"United States,
              PA",2.1,Gold,"Aug. 19, 2021"
University of Pittsburgh,"United States,
              PA",2.2,Gold,"April 11, 2024"
University of Puget Sound,"United States,
              WA",1.1,"Gold
                
                    *","July 25, 2015"
University of Richmond,"United States,
              VA",2.1,Gold,"Feb. 28, 2022"
University of San Diego,"United States,
              CA",2.2,Gold,"July 11, 2024"
University of South Florida (Tampa),"United States,
              FL",2.1,Gold,"Aug. 17, 2021"
University of St. Thomas,"United States,
              MN",2.2,Gold,"April 22, 2024"
University of Texas Rio Grande Valley,"United States,
              TX",2.1,"Gold
                
                    *","March 18, 2021"
University of Texas at Austin,"United States,
              TX",2.2,Gold,"March 2, 2023"
University of Utah,"United States,
              UT",2.2,Gold,"Jan. 13, 2024"
University of Vermont,"United States,
              VT",2.2,Gold,"March 2, 2023"
University of Victoria,"Canada,
              BC",2.2,Gold,"July 20, 2023"
University of Virginia,"United States,
              VA",2.2,Gold,"April 29, 2024"
"University of Washington, Seattle","United States,
              WA",2.1,Gold,"Oct. 11, 2021"
University of Wisconsin-Milwaukee,"United States,
              WI",2.1,Gold,"Nov. 26, 2022"
University of Wisconsin-Oshkosh,"United States,
              WI",2.1,"Gold
                
                    *","July 27, 2021"
University of Wisconsin-Stevens Point,"United States,
              WI",2.1,Gold,"Nov. 9, 2021"
Vassar College,"United States,
              NY",2.2,Gold,"March 28, 2024"
Virginia Tech,"United States,
              VA",2.2,Gold,"March 18, 2024"
Warren Wilson College,"United States,
              NC",2.2,Gold,"March 4, 2023"
Wartburg College,"United States,
              IA",2,"Gold
                
                    *","Jan. 28, 2018"
Washington University in St. Louis,"United States,
              MO",2.1,Gold,"Aug. 28, 2021"
Wellesley College,"United States,
              MA",2.1,Gold,"Nov. 12, 2021"
Wells College,"United States,
              NY",2.1,"Gold
                
                    *","June 10, 2021"
Western University,"Canada,
              ON",2.1,"Gold
                
                    *","July 30, 2021"
Wilfrid Laurier University,"Canada,
              ON",2.1,Gold,"Jan. 15, 2022"
Worcester Polytechnic Institute,"United States,
              MA",2.1,Gold,"Nov. 6, 2023"
Yale University,"United States,
              CT",2.2,Gold,"Nov. 6, 2023"
American University of Sharjah,"United Arab Emirates,
              Ash Shariqah",2.1,Silver,"June 21, 2024"
Amherst College,"United States,
              MA",2.1,Silver,"Feb. 28, 2022"
Anne Arundel Community College,"United States,
              MD",1,"Silver
                
                    *","Nov. 17, 2014"
Antioch College,"United States,
              OH",2.1,Silver,"Sept. 24, 2021"
Aquinas College,"United States,
              MI",2.1,Silver,"March 3, 2022"
Auburn University,"United States,
              AL",2.1,Silver,"Jan. 22, 2022"
Baldwin Wallace University,"United States,
              OH",2.1,Silver,"Jan. 10, 2022"
Ball State University,"United States,
              IN",2.2,Silver,"Sept. 23, 2024"
Barnard College,"United States,
              NY",2.2,Silver,"March 6, 2023"
Baylor University,"United States,
              TX",2.1,"Silver
                
                    *","Feb. 29, 2020"
Bellevue College,"United States,
              WA",1.2,"Silver
                
                    *","June 30, 2016"
Beloit College,"United States,
              WI",2.1,"Silver
                
                    *","Nov. 14, 2020"
Bentley University,"United States,
              MA",2.2,Silver,"Dec. 8, 2023"
Black Hills State University,"United States,
              SD",2.2,Silver,"July 31, 2023"
Boise State University,"United States,
              ID",2.2,Silver,"Sept. 22, 2024"
Boston College,"United States,
              MA",2.1,Silver,"Feb. 5, 2022"
Boston University,"United States,
              MA",2.1,Silver,"Aug. 1, 2022"
Brandeis University,"United States,
              MA",1.2,"Silver
                
                    *","Feb. 17, 2016"
British Columbia Institute of Technology,"Canada,
              BC",2.2,Silver,"June 28, 2024"
Brock University,"Canada,
              ON",2.2,Silver,"Jan. 20, 2024"
Bryant University,"United States,
              RI",2.1,Silver,"June 5, 2022"
Bryn Mawr College,"United States,
              PA",2.1,"Silver
                
                    *","Dec. 25, 2020"
"California State Polytechnic University, Pomona","United States,
              CA",2.1,Silver,"May 15, 2023"
"California State University, Bakersfield","United States,
              CA",2.1,Silver,"Aug. 28, 2021"
"California State University, Dominguez Hills","United States,
              CA",2.2,Silver,"Aug. 14, 2023"
"California State University, Fullerton","United States,
              CA",2.1,Silver,"Feb. 28, 2022"
"California State University, Long Beach","United States,
              CA",2.2,Silver,"March 4, 2024"
"California State University, Los Angeles","United States,
              CA",2.1,Silver,"July 16, 2022"
"California State University, Monterey Bay","United States,
              CA",2.2,Silver,"March 25, 2024"
"California State University, San Bernardino","United States,
              CA",2.2,Silver,"May 11, 2024"
"California State University, Stanislaus","United States,
              CA",2.2,Silver,"July 20, 2023"
Calvin University,"United States,
              MI",2.2,Silver,"Feb. 25, 2023"
Camosun College,"Canada,
              BC",2,"Silver
                
                    *","Nov. 24, 2018"
Carleton College,"United States,
              MN",2.2,Silver,"May 11, 2024"
Carleton University,"Canada,
              ON",2,"Silver
                
                    *","Feb. 17, 2020"
Case Western Reserve University,"United States,
              OH",2.1,Silver,"Aug. 28, 2021"
Central Carolina Community College,"United States,
              NC",2,"Silver
                
                    *","June 23, 2018"
Central Community College,"United States,
              NE",2.2,Silver,"March 3, 2023"
Central New Mexico Community College,"United States,
              NM",2.1,Silver,"July 25, 2022"
Champlain College,"United States,
              VT",2.1,Silver,"May 8, 2022"
"City University of New York, John Jay College of Criminal Justice","United States,
              NY",2.2,Silver,"April 20, 2024"
Claremont McKenna College,"United States,
              CA",2.1,Silver,"Feb. 13, 2023"
Clemson University,"United States,
              SC",2.1,Silver,"Nov. 25, 2021"
Cleveland State University,"United States,
              OH",2.2,Silver,"Oct. 2, 2023"
Coastal Carolina University,"United States,
              SC",2,"Silver
                
                    *","Nov. 23, 2018"
College of Charleston,"United States,
              SC",2.2,Silver,"Feb. 17, 2023"
College of Lake County,"United States,
              IL",2.2,Silver,"March 6, 2023"
College of Saint Benedict,"United States,
              MN",1.1,"Silver
                
                    *","April 29, 2016"
College of William & Mary,"United States,
              VA",2.1,"Silver
                
                    *","Dec. 20, 2019"
Concordia College - Moorhead,"United States,
              MN",2.2,Silver,"Feb. 2, 2024"
DE LA SALLE LIPA,"Philippines,
              BATANGAS",2.2,Silver,"Sept. 14, 2024"
Delta College,"United States,
              MI",2.1,"Silver
                
                    *","Jan. 1, 2021"
Drew University,"United States,
              NJ",1.1,"Silver
                
                    *","Nov. 15, 2014"
Duquesne University,"United States,
              PA",2.2,Silver,"April 11, 2024"
Durham College,"Canada,
              ON",2.1,Silver,"Feb. 6, 2023"
Earlham College,"United States,
              IN",2.1,Silver,"Feb. 25, 2022"
East Carolina University,"United States,
              NC",2.2,Silver,"Jan. 15, 2023"
Eastern Connecticut State University,"United States,
              CT",2.1,Silver,"Dec. 30, 2021"
Eastern Iowa Community College District,"United States,
              IA",1,"Silver
                
                    *","June 14, 2014"
Eastern Mennonite University,"United States,
              VA",2.1,"Silver
                
                    *","Jan. 21, 2021"
Ecole de Technologie Superieure,"Canada,
              QC",2.1,Silver,"Nov. 13, 2021"
Edmonds Community College,"United States,
              WA",1.2,"Silver
                
                    *","Jan. 16, 2016"
Elon University,"United States,
              NC",2.2,Silver,"Feb. 18, 2023"
Endicott College,"United States,
              MA",2.1,Silver,"Aug. 7, 2022"
"Evergreen State College, The","United States,
              WA",2.1,Silver,"Aug. 29, 2022"
FIE: Foundation for International Education,"United Kingdom,
              London",2.1,"Silver
                
                    *","Sept. 30, 2020"
Florida Institute of Technology,"United States,
              FL",2.2,Silver,"Nov. 6, 2023"
Florida International University,"United States,
              FL",2.1,"Silver
                
                    *","Feb. 17, 2021"
Frostburg State University,"United States,
              MD",2,"Silver
                
                    *","June 12, 2019"
George Brown College,"Canada,
              ON",2.2,Silver,"Nov. 24, 2023"
Georgia Institute of Technology,"United States,
              GA",2.2,Silver,"May 12, 2024"
Gettysburg College,"United States,
              PA",2,"Silver
                
                    *","March 7, 2019"
Goshen College,"United States,
              IN",2.2,Silver,"March 6, 2023"
Goucher College,"United States,
              MD",2,"Silver
                
                    *","May 13, 2017"
Guilford College,"United States,
              NC",2,"Silver
                
                    *","Dec. 7, 2018"
Harvey Mudd College,"United States,
              CA",2.1,Silver,"Feb. 28, 2022"
Haverford College,"United States,
              PA",2.2,Silver,"May 12, 2024"
Hobart and William Smith Colleges,"United States,
              NY",2.2,Silver,"March 25, 2024"
Hope College,"United States,
              MI",2.2,Silver,"March 6, 2023"
Indiana State University,"United States,
              IN",2.1,Silver,"Feb. 25, 2022"
Jefferson Community and Technical College,"United States,
              KY",1.2,"Silver
                
                    *","Jan. 30, 2017"
Johnson County Community College,"United States,
              KS",2.1,"Silver
                
                    *","Jan. 23, 2021"
Kenyon College,"United States,
              OH",2.2,Silver,"March 4, 2024"
Knox College,"United States,
              IL",2.2,Silver,"Feb. 22, 2024"
LIU Post,"United States,
              NY",2,"Silver
                
                    *","July 14, 2018"
Lafayette College,"United States,
              PA",2.2,Silver,"March 3, 2023"
Lane Community College,"United States,
              OR",2.2,Silver,"May 5, 2024"
Langara College,"Canada,
              BC",2.2,Silver,"Aug. 26, 2024"
Lawrence University,"United States,
              WI",2.2,Silver,"Sept. 22, 2022"
Louisiana State University,"United States,
              LA",2.1,Silver,"Aug. 27, 2021"
MacEwan University,"Canada,
              AB",2.1,Silver,"Aug. 30, 2021"
Madisonville Community College,"United States,
              KY",2,"Silver
                
                    *","May 7, 2018"
Maharishi University of Management,"United States,
              IA",1.2,"Silver
                
                    *","April 10, 2017"
Marquette University,"United States,
              WI",1.2,"Silver
                
                    *","Feb. 13, 2016"
Maryville College,"United States,
              TN",2,"Silver
                
                    *","Feb. 11, 2019"
Michigan Technological University,"United States,
              MI",2.1,Silver,"Oct. 14, 2023"
Mills College,"United States,
              CA",2.2,Silver,"May 17, 2024"
Minnesota State University Moorhead,"United States,
              MN",2,"Silver
                
                    *","Jan. 16, 2017"
Missouri State University,"United States,
              MO",2.2,Silver,"May 19, 2024"
Missouri University of Science and Technology,"United States,
              MO",2.1,"Silver
                
                    *","Dec. 18, 2020"
Mohammed VI Polytechnic University,Morocco,2.2,Silver,"Oct. 28, 2023"
Montana State University,"United States,
              MT",2.1,Silver,"Feb. 18, 2022"
Mount Royal University,"Canada,
              AB",2.1,Silver,"Oct. 16, 2022"
Niagara College Canada,"Canada,
              ON",2,"Silver
                
                    *","Aug. 10, 2019"
North Seattle College,"United States,
              WA",2.1,"Silver
                
                    *","June 11, 2021"
Northern Alberta Institute of Technology,"Canada,
              AB",2,"Silver
                
                    *","June 18, 2018"
Northern Michigan University,"United States,
              MI",2.2,Silver,"Feb. 17, 2023"
Ohio University,"United States,
              OH",2.1,Silver,"Aug. 18, 2021"
