Institution,Location,STARS Version,Rating,Valid Through
Okanagan College,"Canada,
              BC",1.1,"Silver
                
                    *","July 10, 2017"
Oklahoma State University,"United States,
              OK",2.1,Silver,"Nov. 10, 2021"
Onondaga Community College,"United States,
              NY",2,"Silver
                
                    *","April 4, 2019"
Orange County Community College,"United States,
              NY",2.1,Silver,"Jan. 13, 2022"
Pacific University,"United States,
              OR",2.1,Silver,"Dec. 19, 2021"
Pittsburg State University,"United States,
              KS",2,"Silver
                
                    *","March 4, 2019"
Pitzer College,"United States,
              CA",2.2,Silver,"March 6, 2023"
Portland Community College,"United States,
              OR",2.2,Silver,"April 11, 2024"
Pratt Institute,"United States,
              NY",2.2,Silver,"May 9, 2024"
Principia College,"United States,
              IL",2.1,Silver,"May 12, 2024"
Purchase College - State University of New York,"United States,
              NY",2.1,Silver,"Oct. 30, 2022"
Purdue University,"United States,
              IN",1.2,"Silver
                
                    *","March 26, 2016"
Radford University,"United States,
              VA",2.1,Silver,"May 20, 2022"
Raritan Valley Community College,"United States,
              NJ",2.1,Silver,"July 30, 2022"
Red River College,"Canada,
              MB",1.1,"Silver
                
                    *","April 27, 2015"
Richland College - DCCCD,"United States,
              TX",1,"Silver
                
                    *","Aug. 1, 2014"
Richland Community College,"United States,
              IL",2,"Silver
                
                    *","Dec. 21, 2017"
Rio Salado College,"United States,
              AZ",1,"Silver
                
                    *","Aug. 11, 2014"
Rochester Institute of Technology,"United States,
              NY",2.1,Silver,"Sept. 25, 2021"
Ryerson University,"Canada,
              ON",2.1,Silver,"Jan. 27, 2024"
Saint John's University,"United States,
              MN",2,"Silver
                
                    *","Feb. 3, 2018"
Saint Joseph's College - ME,"United States,
              ME",2.1,"Silver
                
                    *","Jan. 13, 2021"
Saint Mary's University,"Canada,
              NS",1.1,"Silver
                
                    *","July 30, 2015"
Saint Michael's College,"United States,
              VT",2.2,Silver,"July 5, 2024"
San Francisco State University,"United States,
              CA",2.1,Silver,"Dec. 4, 2021"
Seattle Central College,"United States,
              WA",2.2,Silver,"June 14, 2024"
Selkirk College,"Canada,
              BC",2.1,Silver,"May 27, 2022"
Seneca College,"Canada,
              ON",2.1,Silver,"March 30, 2023"
Sewanee - The University of the South,"United States,
              TN",2.1,Silver,"Dec. 19, 2021"
Sheridan College (Ontario),"Canada,
              ON",2.1,"Silver
                
                    *","July 11, 2021"
Skidmore College,"United States,
              NY",2.1,"Silver
                
                    *","Sept. 5, 2020"
Slippery Rock University,"United States,
              PA",2.1,Silver,"Feb. 21, 2022"
Smith College,"United States,
              MA",2.2,Silver,"March 2, 2023"
Soka University of America,"United States,
              CA",2.1,Silver,"Dec. 18, 2021"
Sonoma State University,"United States,
              CA",2.2,Silver,"April 6, 2024"
South Dakota State University,"United States,
              SD",2.1,Silver,"Dec. 8, 2022"
South Seattle College,"United States,
              WA",2.2,Silver,"June 14, 2024"
Southern Illinois University Carbondale,"United States,
              IL",2.1,Silver,"Jan. 9, 2023"
Southern Illinois University Edwardsville,"United States,
              IL",2,"Silver
                
                    *","April 22, 2019"
Southern Oregon University,"United States,
              OR",2.1,Silver,"Feb. 28, 2022"
St. Lawrence University,"United States,
              NY",2.1,"Silver
                
                    *","June 11, 2021"
Stark State College,"United States,
              OH",1.1,"Silver
                
                    *","Aug. 13, 2015"
State University of New York at Brockport,"United States,
              NY",2.1,Silver,"Dec. 11, 2021"
State University of New York at Geneseo,"United States,
              NY",2.1,Silver,"Nov. 24, 2022"
State University of New York at New Paltz,"United States,
              NY",2.1,Silver,"Sept. 3, 2021"
State University of New York at Oneonta,"United States,
              NY",2.1,Silver,"Aug. 28, 2021"
State University of New York at Oswego,"United States,
              NY",2.2,Silver,"May 11, 2024"
Stonehill College,"United States,
              MA",2,"Silver
                
                    *","April 22, 2019"
Susquehanna University,"United States,
              PA",2.2,Silver,"Sept. 25, 2023"
Swarthmore College,"United States,
              PA",2.2,Silver,"March 6, 2023"
Syracuse University,"United States,
              NY",2.1,Silver,"Dec. 11, 2021"
Temple University,"United States,
              PA",2.1,Silver,"Feb. 3, 2024"
Tennessee Technological University,"United States,
              TN",2.1,Silver,"Dec. 17, 2022"
The College of Wooster,"United States,
              OH",1.2,"Silver
                
                    *","Nov. 11, 2016"
The King's University,"Canada,
              AB",1.2,"Silver
                
                    *","Nov. 27, 2015"
The New School,"United States,
              NY",2.1,Silver,"Aug. 5, 2021"
The Ohio State University at Lima,"United States,
              OH",2.1,"Silver
                
                    *","Nov. 4, 2020"
The Ohio State University at Mansfield,"United States,
              OH",2.1,"Silver
                
                    *","Nov. 4, 2020"
The Ohio State University at Marion,"United States,
              OH",2.1,"Silver
                
                    *","Nov. 4, 2020"
The Ohio State University at Newark,"United States,
              OH",2.1,"Silver
                
                    *","Nov. 4, 2020"
Tufts University,"United States,
              MA",2.1,Silver,"Feb. 28, 2022"
Tulane University,"United States,
              LA",2,"Silver
                
                    *","Oct. 12, 2018"
Universidad Autonoma de Tamaulipas,"Mexico,
              TM",2.1,"Silver
                
                    *","May 25, 2021"
Universidad San Francisco de Quito,"Ecuador,
              Pichincha",2.1,Silver,"Dec. 25, 2021"
Universidad de Monterrey,"Mexico,
              NL",2,"Silver
                
                    *","Feb. 27, 2020"
Universite de Montreal,"Canada,
              QC",2.2,Silver,"Dec. 19, 2022"
University of Alabama at Birmingham,"United States,
              AL",2.1,Silver,"Feb. 6, 2023"
University of Central Florida,"United States,
              FL",2.2,Silver,"April 20, 2024"
University of Colorado Denver - Anschutz Medical Campus,"United States,
              CO",1.1,"Silver
                
                    *","Dec. 5, 2015"
University of Denver,"United States,
              CO",2.2,Silver,"Sept. 9, 2024"
University of Florida,"United States,
              FL",2.1,Silver,"April 18, 2024"
University of Idaho,"United States,
              ID",2.1,Silver,"Feb. 26, 2022"
University of Illinois Chicago,"United States,
              IL",2.1,"Silver
                
                    *","July 16, 2021"
University of Iowa,"United States,
              IA",2.1,"Silver
                
                    *","July 23, 2021"
University of Kansas,"United States,
              KS",2,"Silver
                
                    *","July 16, 2018"
University of Kentucky,"United States,
              KY",2.1,Silver,"Sept. 29, 2022"
University of Louisiana at Lafayette,"United States,
              LA",2.2,Silver,"Sept. 21, 2024"
University of Maine,"United States,
              ME",2.1,Silver,"Feb. 28, 2022"
"University of Maryland, Baltimore County","United States,
              MD",2.2,Silver,"Feb. 24, 2023"
University of Massachusetts Dartmouth,"United States,
              MA",2.2,Silver,"May 13, 2024"
University of Massachusetts Medical School,"United States,
              MA",2.1,Silver,"April 3, 2023"
"University of Missouri, Kansas City","United States,
              MO",2,"Silver
                
                    *","March 9, 2017"
University of Montana,"United States,
              MT",2.2,Silver,"Aug. 26, 2024"
University of Mount Union,"United States,
              OH",2.1,Silver,"May 5, 2024"
University of Nebraska - Lincoln,"United States,
              NE",2.2,Silver,"Jan. 30, 2023"
University of Nebraska at Omaha,"United States,
              NE",2.1,Silver,"March 18, 2022"
University of Nevada Las Vegas,"United States,
              NV",2,"Silver
                
                    *","Dec. 17, 2018"
"University of New Brunswick, Fredericton","Canada,
              NB",2.2,Silver,"Oct. 14, 2023"
"University of New Brunswick, Saint John","Canada,
              NB",2.2,Silver,"April 6, 2024"
"University of North Carolina, Charlotte","United States,
              NC",2,"Silver
                
                    *","Sept. 18, 2019"
"University of North Carolina, Greensboro","United States,
              NC",2.1,Silver,"Feb. 6, 2022"
"University of North Carolina, Wilmington","United States,
              NC",2,"Silver
                
                    *","April 26, 2019"
University of North Texas,"United States,
              TX",2,"Silver
                
                    *","May 13, 2017"
University of Northern British Columbia,"Canada,
              BC",1,"Silver
                
                    *","Aug. 19, 2014"
University of Notre Dame,"United States,
              IN",2.1,"Silver
                
                    *","April 10, 2021"
University of Ottawa,"Canada,
              ON",2.1,Silver,"Sept. 24, 2021"
University of Queensland,"Australia,
              QLD",2.2,Silver,"Feb. 10, 2024"
University of Rochester,"United States,
              NY",2.1,Silver,"Jan. 30, 2022"
University of Saskatchewan,"Canada,
              SK",2.1,Silver,"March 5, 2023"
University of Sharjah,United Arab Emirates,2.2,Silver,"July 6, 2024"
University of South Carolina,"United States,
              SC",2.1,Silver,"May 17, 2024"
University of South Florida St. Petersburg,"United States,
              FL",2.1,"Silver
                
                    *","Sept. 8, 2020"
University of Southern California,"United States,
              CA",2.2,Silver,"Sept. 21, 2024"
University of Tasmania,Australia,2.2,Silver,"Aug. 25, 2023"
University of Tennessee at Knoxville,"United States,
              TN",2.1,Silver,"March 6, 2023"
University of Texas at Arlington,"United States,
              TX",2,"Silver
                
                    *","July 12, 2019"
University of Texas at San Antonio,"United States,
              TX",2.2,Silver,"Dec. 3, 2023"
University of Toronto Mississauga,"Canada,
              ON",2.2,Silver,"Feb. 5, 2024"
University of Waterloo,"Canada,
              ON",2.1,Silver,"Nov. 5, 2021"
University of West Georgia,"United States,
              GA",2.1,Silver,"Sept. 25, 2021"
University of Winnipeg,"Canada,
              MB",2.1,Silver,"Feb. 28, 2022"
University of Wisconsin-Green Bay,"United States,
              WI",2.1,"Silver
                
                    *","May 4, 2021"
University of Wisconsin-La Crosse,"United States,
              WI",2,"Silver
                
                    *","May 19, 2018"
University of Wisconsin-Madison,"United States,
              WI",2.1,Silver,"July 31, 2022"
University of Wisconsin-Platteville,"United States,
              WI",2.2,Silver,"March 5, 2023"
University of Wisconsin-River Falls,"United States,
              WI",2.2,Silver,"Aug. 9, 2024"
University of Wisconsin-Stout,"United States,
              WI",2,"Silver
                
                    *","Nov. 3, 2018"
University of Wisconsin-Whitewater,"United States,
              WI",2.1,Silver,"Nov. 12, 2021"
University of the Pacific,"United States,
              CA",2.2,Silver,"April 15, 2024"
Utah State University,"United States,
              UT",2.2,Silver,"Oct. 30, 2022"
Valencia College,"United States,
              FL",1.2,"Silver
                
                    *","Oct. 8, 2015"
Villanova University,"United States,
              PA",2.1,Silver,"Sept. 22, 2021"
Virginia Commonwealth University,"United States,
              VA",2.1,Silver,"Aug. 28, 2021"
Washington and Lee University,"United States,
              VA",2.2,Silver,"March 6, 2023"
Weber State University,"United States,
              UT",2.1,Silver,"Feb. 18, 2022"
Wesleyan University,"United States,
              CT",2.2,Silver,"Dec. 19, 2022"
West Chester University of Pennsylvania,"United States,
              PA",2.2,Silver,"March 6, 2023"
West Virginia University,"United States,
              WV",2.2,Silver,"March 29, 2024"
Western Colorado University,"United States,
              CO",2.1,Silver,"May 15, 2022"
Western Kentucky University,"United States,
              KY",2.2,Silver,"March 5, 2023"
Western Michigan University,"United States,
              MI",2.1,Silver,"Feb. 27, 2022"
Western Technical College,"United States,
              WI",2.2,Silver,"April 29, 2024"
Western Washington University,"United States,
              WA",2.1,Silver,"Feb. 28, 2022"
Westminster College - Utah,"United States,
              UT",2.1,Silver,"Aug. 14, 2022"
Whitman College,"United States,
              WA",2.2,Silver,"Feb. 6, 2023"
Williams College,"United States,
              MA",2.1,Silver,"May 27, 2022"
York University,"Canada,
              ON",2,"Silver
                
                    *","April 20, 2019"
Alfred State College,"United States,
              NY",1.2,"Bronze
                
                    *","Oct. 9, 2015"
Austin College,"United States,
              TX",2.1,Bronze,"Aug. 28, 2021"
Bridgewater College,"United States,
              VA",1.2,"Bronze
                
                    *","Sept. 16, 2016"
Brunswick Community College,"United States,
              NC",1.1,"Bronze
                
                    *","Feb. 16, 2015"
Butler University,"United States,
              IN",2.1,Bronze,"Oct. 9, 2021"
"California State University, East Bay","United States,
              CA",2.1,Bronze,"April 18, 2022"
"California State University, Fresno","United States,
              CA",2.2,Bronze,"Nov. 24, 2023"
Cascadia College,"United States,
              WA",2.1,Bronze,"Sept. 1, 2021"
Central Ohio Technical College,"United States,
              OH",1.2,"Bronze
                
                    *","Sept. 11, 2016"
Central Washington University,"United States,
              WA",2.1,Bronze,"July 16, 2022"
Chandler-Gilbert Community College,"United States,
              AZ",2.1,Bronze,"Feb. 28, 2022"
Creighton University,"United States,
              NE",2.1,Bronze,"Aug. 28, 2021"
DePauw University,"United States,
              IN",2.2,Bronze,"May 13, 2024"
Dominican University of California,"United States,
              CA",1.2,"Bronze
                
                    *","Jan. 7, 2016"
Drake University,"United States,
              IA",2.1,Bronze,"May 21, 2022"
Drexel University,"United States,
              PA",2.1,Bronze,"June 16, 2024"
East Tennessee State University,"United States,
              TN",1,"Bronze
                
                    *","Aug. 21, 2014"
Eastern Kentucky University,"United States,
              KY",2.1,Bronze,"Sept. 25, 2021"
Estrella Mountain Community College,"United States,
              AZ",1.2,"Bronze
                
                    *","Feb. 9, 2017"
Eureka College,"United States,
              IL",2.1,Bronze,"Oct. 25, 2021"
Ferrum College,"United States,
              VA",1.2,"Bronze
                
                    *","July 28, 2016"
Franklin W. Olin College of Engineering,"United States,
              MA",2.1,Bronze,"Dec. 24, 2021"
Georgia College & State University,"United States,
              GA",2.2,Bronze,"May 17, 2024"
Harrisburg Area Community College,"United States,
              PA",1.1,"Bronze
                
                    *","July 18, 2015"
Hawaii Pacific University,"United States,
              HI",1.1,"Bronze
                
                    *","Oct. 2, 2015"
Hopkinsville Community College,"United States,
              KY",1.2,"Bronze
                
                    *","March 26, 2016"
Houghton College,"United States,
              NY",2.2,Bronze,"March 5, 2023"
Illinois Central College,"United States,
              IL",2,"Bronze
                
                    *","Nov. 23, 2018"
Illinois Institute of Technology,"United States,
              IL",2.1,Bronze,"Sept. 24, 2021"
Illinois State University,"United States,
              IL",2.1,Bronze,"Feb. 24, 2022"
Indiana University South Bend,"United States,
              IN",2.1,Bronze,"Feb. 5, 2024"
Joliet Junior College,"United States,
              IL",2,"Bronze
                
                    *","June 10, 2018"
Judson University,"United States,
              IL",1,"Bronze
                
                    *","Feb. 17, 2015"
Juniata College,"United States,
              PA",2,"Bronze
                
                    *","May 13, 2018"
Kalamazoo College,"United States,
              MI",2.2,Reporter,"Oct. 1, 2023"
Kent State University,"United States,
              OH",2.2,Bronze,"May 12, 2024"
Lakehead University,"Canada,
              ON",2,"Bronze
                
                    *","Nov. 11, 2017"
Lebanon Valley College,"United States,
              PA",2.1,Bronze,"May 19, 2022"
Lewis University,"United States,
              IL",2.2,Bronze,"May 5, 2024"
Loyalist College,"Canada,
              ON",2,"Bronze
                
                    *","July 22, 2018"
Messiah University,"United States,
              PA",2.2,Bronze,"May 18, 2024"
Metropolitan Community College,"United States,
              NE",2.1,Bronze,"Oct. 2, 2021"
Moraine Valley Community College,"United States,
              IL",1,"Bronze
                
                    *","Jan. 27, 2014"
New Mexico State University,"United States,
              NM",2.2,Bronze,"May 13, 2024"
Nova Southeastern University,"United States,
              FL",2.2,Bronze,"Feb. 18, 2024"
Oklahoma City University,"United States,
              OK",1,"Bronze
                
                    *","July 31, 2014"
Oregon Institute of Technology,"United States,
              OR",1,"Bronze
                
                    *","Dec. 12, 2014"
Paul Smith's College of Arts & Sciences,"United States,
              NY",2.1,Bronze,"March 6, 2023"
"Penn State Erie, The Behrend College","United States,
              PA",2.1,Bronze,"Aug. 14, 2023"
Ringling College of Art and Design,"United States,
              FL",2.1,"Bronze
                
                    *","Jan. 10, 2020"
Rocky Mountain College of Art + Design,"United States,
              CO",1,"Bronze
                
                    *","July 14, 2014"
Roosevelt University,"United States,
              IL",2,"Bronze
                
                    *","Dec. 17, 2018"
Saint Louis University,"United States,
              MO",2.1,Bronze,"Aug. 28, 2021"
Santa Rosa Junior College,"United States,
              CA",2.1,Bronze,"Feb. 27, 2022"
Scripps College,"United States,
              CA",1.1,"Bronze
                
                    *","Jan. 18, 2016"
Shoreline Community College,"United States,
              WA",1,"Bronze
                
                    *","July 19, 2014"
Siena Heights University,"United States,
              MI",2.1,Bronze,"June 16, 2022"
Southern New Hampshire University,"United States,
              NH",2.1,Bronze,"Oct. 10, 2022"
Southwestern University,"United States,
              TX",2.1,Bronze,"Nov. 5, 2021"
St. Lawrence College,"Canada,
              ON",2.1,Bronze,"Feb. 27, 2022"
State University of New York at Fredonia,"United States,
              NY",2.1,"Bronze
                
                    *","Nov. 12, 2020"
State University of New York at Potsdam,"United States,
              NY",2.1,Bronze,"Feb. 3, 2023"
Stetson University,"United States,
              FL",1.1,"Bronze
                
                    *","Dec. 5, 2015"
Tarleton State University,"United States,
              TX",2,"Bronze
                
                    *","Dec. 22, 2020"
Taylor University,"United States,
              IN",1.1,"Bronze
                
                    *","Feb. 14, 2015"
"Texas State University, San Marcos","United States,
              TX",2.1,Bronze,"Dec. 15, 2022"
Texas Tech University,"United States,
              TX",2.2,Bronze,"March 24, 2024"
Towson University,"United States,
              MD",1.2,"Bronze
                
                    *","May 13, 2016"
Transylvania University,"United States,
              KY",2,"Bronze
                
                    *","Dec. 12, 2018"
Trinity College (CT),"United States,
              CT",2.1,Bronze,"Oct. 27, 2022"
Truman State University,"United States,
              MO",1.1,"Bronze
                
                    *","March 14, 2015"
United World College-USA,"United States,
              NM",2.2,Bronze,"Dec. 16, 2022"
Universidade Aberta,Portugal,2.1,Bronze,"April 4, 2022"
University of Alabama in Huntsville,"United States,
              AL",2.1,Bronze,"March 7, 2022"
University of Alaska Southeast,"United States,
              AK",1.2,"Bronze
                
                    *","Jan. 9, 2017"
University of Arkansas at Little Rock,"United States,
              AR",1.2,"Bronze
                
                    *","Sept. 24, 2015"
University of Delaware,"United States,
              DE",2.1,Bronze,"Jan. 30, 2023"
University of Mississippi,"United States,
              MS",2.1,Bronze,"July 16, 2022"
University of Montevallo,"United States,
              AL",2.1,Bronze,"July 23, 2022"
University of New Haven,"United States,
              CT",2.1,Bronze,"July 31, 2022"
"University of North Carolina, Pembroke","United States,
              NC",2,"Bronze
                
                    *","Feb. 11, 2019"
University of North Florida,"United States,
              FL",1.2,"Bronze
                
                    *","Sept. 25, 2015"
University of North Georgia,"United States,
              GA",2.2,Bronze,"Dec. 20, 2022"
University of Texas at El Paso,"United States,
              TX",2,"Bronze
                
                    *","April 29, 2019"
University of Wyoming,"United States,
              WY",2.1,Bronze,"April 28, 2022"
University of the District of Columbia,"United States,
              DC",1.1,"Bronze
                
                    *","Feb. 16, 2015"
Washtenaw Community College,"United States,
              MI",2.1,Bronze,"Nov. 18, 2021"
Whatcom Community College,"United States,
              WA",2.1,"Bronze
                
                    *","May 1, 2021"
Yeshiva University,"United States,
              NY",1.2,"Bronze
                
                    *","Feb. 10, 2017"
Albion College,"United States,
              MI",2.1,Reporter,"March 7, 2024"
Austin Peay State University,"United States,
              TN",2.1,Reporter,"May 29, 2022"
Bow Valley College,"Canada,
              AB",2.1,Reporter,"Oct. 1, 2021"
California College of the Arts,"United States,
              CA",2.1,Reporter,"Aug. 28, 2021"
Chapman University,"United States,
              CA",1,"Reporter
                
                    *","Aug. 3, 2014"
Clark University,"United States,
              MA",2.2,Reporter,"March 10, 2024"
DePaul University,"United States,
              IL",1.1,"Reporter
                
                    *","March 22, 2015"
Duke University,"United States,
              NC",2,"Reporter
                
                    *","Feb. 24, 2018"
El Centro College - DCCCD,"United States,
              TX",1,"Reporter
                
                    *","Dec. 18, 2014"
Euromed Management,"France,
              Marseille",1.1,"Reporter
                
                    *","May 6, 2016"
Fayetteville State University,"United States,
              NC",1.2,"Reporter
                
                    *","Feb. 9, 2016"
Fort Lewis College,"United States,
              CO",2.2,Reporter,"Feb. 8, 2024"
Franklin University Switzerland,"Switzerland,
              Ticino",1.2,"Reporter
                
                    *","Aug. 4, 2016"
Georgia State University,"United States,
              GA",2,"Reporter
                
                    *","March 22, 2018"
Hibbing Community College,"United States,
              MN",2,"Reporter
                
                    *","June 11, 2017"
Hokkaido University,"Japan,
              Hokkaido",1.1,"Reporter
                
                    *","Dec. 20, 2015"
Instituto Tecnológico Metropolitano,"Colombia,
              Antioquia",2.1,Reporter,"Oct. 1, 2023"
Kyoto University,Japan,1.2,"Reporter
                
                    *","Dec. 18, 2016"
Lahore University of Management Sciences,"Pakistan,
              Cantt",1.2,"Reporter
                
                    *","April 10, 2016"
Lakeland Community College,"United States,
              OH",1,"Reporter
                
                    *","May 31, 2014"
Mount Holyoke College,"United States,
              MA",2.1,Reporter,"Feb. 25, 2022"
Northeastern University,"United States,
              MA",2.1,Reporter,"June 8, 2024"
Old Dominion University,"United States,
              VA",2,"Reporter
                
                    *","July 13, 2018"
Pace University,"United States,
              NY",2.2,Reporter,"March 6, 2023"
Plymouth State University,"United States,
              NH",2,"Reporter
                
                    *","Feb. 27, 2017"
Randolph College,"United States,
              VA",2.2,Reporter,"Sept. 12, 2022"
State University of New York Polytechnic Institute,"United States,
              NY",2.1,Reporter,"June 22, 2024"
Stockton University,"United States,
              NJ",2.1,Reporter,"Feb. 28, 2022"
Stony Brook University,"United States,
              NY",2,"Reporter
                
                    *","Nov. 10, 2019"
University of Alaska Anchorage,"United States,
              AK",2,"Reporter
                
                    *","Aug. 11, 2018"
University of Nebraska at Kearney,"United States,
              NE",1,"Reporter
                
                    *","Feb. 1, 2015"
University of Regina,"Canada,
              SK",2,"Reporter
                
                    *","Nov. 25, 2018"
Utrecht University,Netherlands,1.2,"Reporter
                
                    *","Dec. 17, 2016"
Vanderbilt University,"United States,
              TN",2.2,Reporter,"March 7, 2024"
Virginia Theological Seminary,"United States,
              VA",2.1,Reporter,"Nov. 14, 2021"
Wentworth Institute of Technology,"United States,
              MA",2.2,Reporter,"March 7, 2024"
Wake Forest University,"United States,
              NC",2.1,"Gold
                
                    *","July 26, 2021"
